evidence_id,evidence,article
Extinction risk from global warming:170,Recent Research Shows Human Activity Driving Earth Towards Global Extinction Event.,Extinction risk from global warming
Global warming:14,"Environmental impacts include the extinction or relocation of many species as their ecosystems change, most immediately the environments of coral reefs, mountains, and the Arctic.",Global warming
Global warming:178,"Rising temperatures push bees to their physiological limits, and could cause the extinction of bee populations.",Global warming
Habitat destruction:61,"Rising global temperatures, caused by the greenhouse effect, contribute to habitat destruction, endangering various species, such as the polar bear.",Habitat destruction
Polar bear:1328,Bear hunting caught in global warming debate.,Polar bear
Famine:386,The current consensus of the scientific community is that the aerosols and dust released into the upper atmosphere causes cooler temperatures by preventing the suns energy from reaching the ground.,Famine
Weather:67,The Little Ice Age caused crop failures and famines in Europe.,Weather
Winter:114,"The persistently cold, wet weather caused great hardship, was primarily responsible for the Great Famine of 1315-1317, and strongly contributed to the weakened immunity and malnutrition leading up to the Black Death 1348-1350.",Winter
Winter:20,"The manifestation of the meteorological winter freezing temperatures in the northerly snow-prone latitudes is highly variable depending on elevation, position versus marine winds and the amount of precipitation.",Winter
Winter:5,"In many regions, winter is associated with snow and freezing temperatures.",Winter
Polar bear:272,"The growth of the human population in the Eurasian Arctic in the 16th and 17th century, together with the advent of firearms and increasing trade, dramatically increased the harvest of polar bears.",Polar bear
Polar bear:280,"The numbers taken grew rapidly in the 1960s, peaking around 1968 with a global total of 1,250 bears that year.",Polar bear
Polar bear:308,"In two areas where harvest levels have been increased based on increased sightings, science-based studies have indicated declining populations, and a third area is considered data-deficient.",Polar bear
Polar bear:61,"Of the 19 recognized polar bear subpopulations, one is in decline, two are increasing, seven are stable, and nine have insufficient data, as of 2017.",Polar bear
Atmosphere of Mars:131,CO2 in the mesosphere acts as a cooling agent by efficiently radiating heat into space.,Atmosphere of Mars
Atmosphere of Mars:136,The higher concentration of CO2 in the Martian thermosphere may explain part of the discrepancy because of the cooling effects of CO2 in high altitude.,Atmosphere of Mars
Carbon dioxide in Earth's atmosphere:10,This increase of CO2 and other long-lived greenhouse gases in Earths atmosphere has produced the current episode of global warming.,Carbon dioxide in Earths atmosphere
Carbon dioxide in Earth's atmosphere:63,The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planets surface beyond the temperature it would have in the absence of its atmosphere.,Carbon dioxide in Earths atmosphere
Carbon dioxide:191,"Less energy reaches the upper atmosphere, which is therefore cooler because of this absorption.",Carbon dioxide
Carbon dioxide in Earth's atmosphere:140,"While CO2 absorption and release is always happening as a result of natural processes, the recent rise in CO2 levels in the atmosphere is known to be mainly due to human anthropogenic activity.",Carbon dioxide in Earths atmosphere
Carbon dioxide in Earth's atmosphere:144,"The burning of long-buried fossil fuels releases CO2 containing carbon of different isotopic ratios to those of living plants, enabling distinction between natural and human-caused contributions to CO2 concentration.",Carbon dioxide in Earths atmosphere
Carbon dioxide in Earth's atmosphere:42,"The beginning of human agriculture during the current Holocene epoch may have been strongly connected to the atmospheric CO2 increase after the last ice age ended, a fertilization effect raising plant biomass growth and reducing stomatal conductance requirements for CO2 intake, consequently reducing transpiration water losses and increasing water usage efficiency.",Carbon dioxide in Earths atmosphere
Ocean acidification:0,"Ocean acidification is the ongoing decrease in the pH of the Earths oceans, caused by the uptake of carbon dioxide CO2 from the atmosphere.",Ocean acidification
Sea:226,"More recently, anthropogenic activities have steadily increased the carbon dioxide content of the atmosphere; about 30-40% of the added CO2 is absorbed by the oceans, forming carbonic acid and lowering the pH now below 8.1 through a process called ocean acidification.",Sea
Carbon dioxide:183,Most carbon dioxide from human activities is released from burning coal and other fossil fuels.,Carbon dioxide
Carbon dioxide:21,"Since the Industrial Revolution anthropogenic emissions - primarily from use of fossil fuels and deforestation - have rapidly increased its concentration in the atmosphere, leading to global warming.",Carbon dioxide
Greenhouse gas:132,The main sources of greenhouse gases due to human activity are: burning of fossil fuels and deforestation leading to higher carbon dioxide concentrations in the air.,Greenhouse gas
Greenhouse gas:186,"At present, the primary source of CO2 emissions is the burning of coal, natural gas, and petroleum for electricity and heat.",Greenhouse gas
