claim_id,evidence_id,label
0,Extinction risk from global warming:170,NOT_ENOUGH_INFO
0,Global warming:14,SUPPORTS
0,Global warming:178,NOT_ENOUGH_INFO
0,Habitat destruction:61,SUPPORTS
0,Polar bear:1328,NOT_ENOUGH_INFO
5,Famine:386,SUPPORTS
5,Weather:67,SUPPORTS
5,Winter:114,SUPPORTS
5,Winter:20,NOT_ENOUGH_INFO
5,Winter:5,NOT_ENOUGH_INFO
6,Polar bear:1332,NOT_ENOUGH_INFO
6,Polar bear:272,NOT_ENOUGH_INFO
6,Polar bear:280,NOT_ENOUGH_INFO
6,Polar bear:308,REFUTES
6,Polar bear:61,REFUTES
9,Atmosphere of Mars:131,NOT_ENOUGH_INFO
9,Atmosphere of Mars:136,NOT_ENOUGH_INFO
9,Carbon dioxide in Earth's atmosphere:10,REFUTES
9,Carbon dioxide in Earth's atmosphere:63,NOT_ENOUGH_INFO
9,Carbon dioxide:191,NOT_ENOUGH_INFO
10,Carbon dioxide in Earth's atmosphere:140,NOT_ENOUGH_INFO
10,Carbon dioxide in Earth's atmosphere:144,NOT_ENOUGH_INFO
10,Carbon dioxide in Earth's atmosphere:42,NOT_ENOUGH_INFO
10,Ocean acidification:0,NOT_ENOUGH_INFO
10,Sea:226,REFUTES
11,Carbon dioxide:183,SUPPORTS
11,Carbon dioxide:21,SUPPORTS
11,Greenhouse gas:132,SUPPORTS
11,Greenhouse gas:186,SUPPORTS
11,Petroleum:271,NOT_ENOUGH_INFO
14,Coral bleaching:52,SUPPORTS
14,Great Barrier Reef:14,SUPPORTS
14,Great Barrier Reef:179,NOT_ENOUGH_INFO
14,Great Barrier Reef:8,SUPPORTS
14,Great Barrier Reef:96,SUPPORTS
18,Air pollution:12,REFUTES
18,Global catastrophic risk:0,NOT_ENOUGH_INFO
18,Global catastrophic risk:104,REFUTES
18,Global catastrophic risk:207,NOT_ENOUGH_INFO
18,Global catastrophic risk:487,NOT_ENOUGH_INFO
19,Carbon dioxide in Earth's atmosphere:63,NOT_ENOUGH_INFO
19,Carbon dioxide:146,REFUTES
19,Carbon dioxide:21,NOT_ENOUGH_INFO
19,Terraforming of Mars:59,NOT_ENOUGH_INFO
19,Terraforming of Mars:78,NOT_ENOUGH_INFO
21,Russia:153,NOT_ENOUGH_INFO
21,Sea level rise:26,REFUTES
21,Sea level rise:405,NOT_ENOUGH_INFO
21,Sea level rise:50,REFUTES
21,Sweden:173,NOT_ENOUGH_INFO
27,Earth:55,NOT_ENOUGH_INFO
27,Earth:76,NOT_ENOUGH_INFO
27,Little Ice Age:22,NOT_ENOUGH_INFO
27,Little Ice Age:383,NOT_ENOUGH_INFO
27,Little Ice Age:458,NOT_ENOUGH_INFO
28,Antarctica:375,NOT_ENOUGH_INFO
28,Climate variability:93,NOT_ENOUGH_INFO
28,Climate variability:98,NOT_ENOUGH_INFO
28,Parinacota (volcano):246,SUPPORTS
28,Snowball Earth:129,SUPPORTS
30,2007 Kangaroo Island bushfires:0,NOT_ENOUGH_INFO
30,Bushfires in Australia:101,NOT_ENOUGH_INFO
30,Bushfires in Australia:102,NOT_ENOUGH_INFO
30,Bushfires in Australia:17,NOT_ENOUGH_INFO
30,Natural disaster:68,NOT_ENOUGH_INFO
31,Carbon tax:6,NOT_ENOUGH_INFO
31,Paleocene–Eocene Thermal Maximum:152,SUPPORTS
31,Permian–Triassic extinction event:1171,NOT_ENOUGH_INFO
31,Permian–Triassic extinction event:177,SUPPORTS
31,Permian–Triassic extinction event:182,SUPPORTS
33,Fossil fuel:15,NOT_ENOUGH_INFO
33,Petroleum:11,NOT_ENOUGH_INFO
33,Wind power:295,REFUTES
33,Wind power:392,NOT_ENOUGH_INFO
33,Wind turbine:230,REFUTES
35,Antarctic ice sheet:170,REFUTES
35,Sea level rise:128,NOT_ENOUGH_INFO
35,Sea level rise:195,NOT_ENOUGH_INFO
35,Sea level rise:26,NOT_ENOUGH_INFO
35,Sea level rise:691,REFUTES
36,Climate change denial:137,NOT_ENOUGH_INFO
36,Climate change denial:407,NOT_ENOUGH_INFO
36,Global cooling:2,NOT_ENOUGH_INFO
36,Richard Lindzen:148,NOT_ENOUGH_INFO
36,Richard Lindzen:150,NOT_ENOUGH_INFO
38,Antarctica:1046,REFUTES
